is_cause,sentence
0.0,"""Interestingly""/ADV,""many""/ADJ,""Indian""/ADJ,""tribe""/NOUN,""use""/VERB,""Bombax""/PROPN,""ceiba""/PROPN,""L""/PROPN,"".""/PUNCT,""Bombacaceae""/PROPN,""fruit""/NOUN,""traditional""/ADJ,""medicine""/NOUN,""treatment""/NOUN,""urinary""/ADJ,""stone""/NOUN"
1.0,"""Ultra-processed""/ADJ,""food""/NOUN,""consumption""/NOUN,""associated""/VERB,""several""/ADJ,""health""/NOUN,""outcome""/NOUN,""obesity""/NOUN,""hypertension""/NOUN,""cardiovascular""/ADJ,""disease""/NOUN,""cancer""/NOUN"
1.0,"""Salt""/NOUN,""notoriously""/ADV,""blamed""/VERB,""causing""/VERB,""increase""/NOUN,""urinary""/ADJ,""excretion""/NOUN,""calcium""/NOUN,""thus""/ADV,""considered""/VERB,""risk""/NOUN,""factor""/NOUN,""osteoporosis""/NOUN"
0.0,"""broiler""/NOUN,""chicken""/NOUN,""flock""/NOUN,""animal-based""/ADJ,""measure""/NOUN,""related""/VERB,""footpad""/NOUN,""dermatitis""/NOUN,""hock""/NOUN,""burn""/NOUN,""body""/NOUN,""lesion""/NOUN,""arthritis""/NOUN,""identified""/VERB,""commercial""/ADJ,""condition""/NOUN,""high""/ADJ,""density""/NOUN"
0.0,"""In""/ADP,""short""/ADJ,""study""/NOUN,""demonstrated""/VERB,""SFP""/PROPN,""could""/AUX,""developed""/VERB,""functional""/ADJ,""food""/NOUN,""pharmaceutical""/NOUN,""supplement""/NOUN,""prevention""/NOUN,""mitigation""/NOUN,""diabetes""/NOUN,""complication""/NOUN"
0.0,"""We""/PRON,""also""/ADV,""showed""/VERB,""moderate""/ADJ,""consumption""/NOUN,""wine""/NOUN,""associated""/VERB,""lower""/ADJ,""risk""/NOUN,""developing""/VERB,""AD""/NOUN"
0.0,"""Recent""/ADJ,""evidence""/NOUN,""revealed""/VERB,""potential""/ADJ,""ginger""/NOUN,""reducing""/VERB,""diabetes-induced""/ADJ,""oxidative""/ADJ,""stress""/NOUN,""marker""/NOUN"
0.0,"""Total""/ADJ,""phenolic""/ADJ,""extract""/NOUN,""Citrus""/NOUN,""aurantium""/NOUN,""L""/NOUN,"".""/PUNCT,""TPE-CA""/NOUN,""rich""/ADJ,""dietary""/ADJ,""bioactive""/ADJ,""flavonoid""/NOUN,""show""/VERB,""beneficial""/ADJ,""effect""/NOUN,""liver""/NOUN,""health""/NOUN,""regarded""/VERB,""therapeutic""/ADJ,""tool""/NOUN,""inflammatory""/ADJ,""disease""/NOUN"
1.0,"""Wheat""/NOUN,""one""/NUM,""five""/NUM,""common""/ADJ,""food""/NOUN,""trigger""/NOUN,""allergic""/ADJ,""reaction""/NOUN,""child""/NOUN"
0.0,"""Adults""/NOUN,""type""/NOUN,""2""/NUM,""diabetes""/NOUN,""may""/AUX,""experience""/VERB,""health""/NOUN,""benefit""/NOUN,""including""/VERB,""glycemic""/ADJ,""control""/NOUN,""weight""/NOUN,""loss""/NOUN,""following""/VERB,""low-carbohydrate""/ADJ,""ketogenic""/ADJ,""VLC""/NOUN,""diet""/NOUN"
