,id,food_entity,disease_entity,sentence,disease_doid,is_cause,is_treat,work_sentence
0,0,bombax ceiba l. (bombacaceae) fruits,urinary stones,many indian tribes use bombax ceiba l. (bombacaceae) fruits as a traditional medicine for the treatment of urinary stones,,0.0,1.0,many indian tribes use bombax ceiba l. (bombacaceae) fruits as a traditional medicine for the treatment of urinary stones
1,1,ultra-processed food,obesity,"ultra-processed food consumption has been associated with several health outcomes such as obesity, hypertension, cardiovascular disease and cancer",DOID:9970,1.0,0.0,"ultra-processed food consumption has been associated with several health outcomes such as obesity, hypertension, cardiovascular disease and cancer"
2,2,salt,osteoporosis,"salt has notoriously been blamed for causing an increase in the urinary excretion of calcium, and thus is a considered a risk factor for osteoporosis",DOID:11476,1.0,0.0,"salt has notoriously been blamed for causing an increase in the urinary excretion of calcium, and thus is a considered a risk factor for osteoporosis"
3,3,broiler chicken,footpad dermatitis,"in broiler chicken flocks when animal-based measures related to footpad dermatitis, hock burns, body lesions and",,0.0,0.0,"in broiler chicken flocks when animal-based measures related to footpad dermatitis, hock burns, body lesions and"
4,4,sfp,diabetes,this study demonstrated that sfp could be developed as functional foods or pharmaceutical supplements for the prevention or mitigation of diabetes and its complications,DOID:9351,0.0,1.0,this study demonstrated that sfp could be developed as functional foods or pharmaceutical supplements for the prevention or mitigation of diabetes and its complications
5,5,wine,ad,that moderate consumption of wine was associated with a lower risk of developing ad,,0.0,1.0,that moderate consumption of wine was associated with a lower risk of developing ad
6,6,ginger,diabetes,revealed the potential of ginger for reducing diabetes,DOID:9351,0.0,1.0,revealed the potential of ginger for reducing diabetes
7,7,citrus aurantium l. (tpe-ca),inflammatory diseases,"total phenolic extracts of citrus aurantium l. (tpe-ca) are rich in dietary bioactive flavonoids, which show beneficial effects on liver health and are regarded as therapeutic tools against inflammatory diseases",,0.0,1.0,"total phenolic extracts of citrus aurantium l. (tpe-ca) are rich in dietary bioactive flavonoids, which show beneficial effects on liver health and are regarded as therapeutic tools against inflammatory diseases"
8,8,wheat,allergic reactions,wheat is one of the five most common foods that trigger allergic reactions in children,,1.0,0.0,wheat is one of the five most common foods that trigger allergic reactions in children
9,9,"low-carbohydrate , ketogenic ( vlc ) diet",type diabetes,"adults with type diabetes may experience health benefits, including glycemic control and weight loss, from following a very low-carbohydrate, ketogenic (vlc) diet.",DOID:9352,0.0,1.0,"adults with type diabetes may experience health benefits, including glycemic control and weight loss, from following a very low-carbohydrate, ketogenic (vlc) diet."
10,10,chicken eggshell membrane ( em ),arthritis,"it was hypothesized that chicken eggshell membrane (em) is effective in the regeneration of cartilage and/or immunomodulation (oral tolerance), and as such relieves pain and stiffness in joints commonly affected in arthritis.",,0.0,1.0,"it was hypothesized that chicken eggshell membrane (em) is effective in the regeneration of cartilage and/or immunomodulation (oral tolerance), and as such relieves pain and stiffness in joints commonly affected in arthritis."
11,11,zinc,mnds,"mnds remain a major public health concern particularly for women and children, with calcium, iodine, iron, selenium, zinc, folate and vitamin a deficiencies",,0.0,0.0,"mnds remain a major public health concern particularly for women and children, with calcium, iodine, iron, selenium, zinc, folate and vitamin a deficiencies"
12,12,folic,neural tube defects,that adequate amounts of folic acid supply to women before and during early pregnancy decreases the risk of having a neural tube defects affected child,DOID:0080074,0.0,1.0,that adequate amounts of folic acid supply to women before and during early pregnancy decreases the risk of having a neural tube defects affected child
13,13,sword bean,cancer,"sword bean has been known as a traditional medicinal plant to treat cancer, sinus infection, and suppurative disease",,0.0,1.0,"sword bean has been known as a traditional medicinal plant to treat cancer, sinus infection, and suppurative disease"
14,14,milk,allergic,"while many egg and milk-allergic children tolerate baked egg (be) and milk (bm), reactions elicited by these",,0.0,0.0,"while many egg and milk-allergic children tolerate baked egg (be) and milk (bm), reactions elicited by these"
15,15,excessive consumption of red meat,coronary heart diseases,excessive consumption of red meat is associated with various diseases including coronary heart diseases and cancer,DOID:3393,1.0,0.0,excessive consumption of red meat is associated with various diseases including coronary heart diseases and cancer
16,16,fruit,dementia,"and two servings of fruit a day could help prevent dementia in older adults, new research",DOID:1307,0.0,1.0,"and two servings of fruit a day could help prevent dementia in older adults, new research"
17,17,milk,cardiovascular disease,"milk and dairy products containing milk fat are major food sources of saturated fatty acids, which have been linked to increased risk of cardiovascular-related clinical outcomes such as cardiovascular disease (cvd), coronary heart disease (chd",,1.0,0.0,"milk and dairy products containing milk fat are major food sources of saturated fatty acids, which have been linked to increased risk of cardiovascular-related clinical outcomes such as cardiovascular disease (cvd), coronary heart disease (chd"
18,18,punica granatum,ailments,one thousand cultivars of punica granatum (punicaceae) are known and some are traditionally used to treat various ailments,,0.0,1.0,one thousand cultivars of punica granatum (punicaceae) are known and some are traditionally used to treat various ailments
19,19,coffee,metabolic syndrome,"fruits including mangosteen rind, coffee pulp and spent coffee grounds provide further options to reduce metabolic syndrome",DOID:0014667,0.0,1.0,"fruits including mangosteen rind, coffee pulp and spent coffee grounds provide further options to reduce metabolic syndrome"
20,20,fruit,bladder cancer,"fruit and vegetable consumption was inversely related with bladder cancer in many studies, but no consistent association has emerged between intake of related micronutrients and reduced risk of bladder cancer",DOID:11054,0.0,1.0,"fruit and vegetable consumption was inversely related with bladder cancer in many studies, but no consistent association has emerged between intake of related micronutrients and reduced risk of bladder cancer"
