label,sentence
2,"""although""/ADP,""grass""/NOUN,""pea""/NOUN,""belongs""/VERB,""leguminoseae""/NOUN,""family""/NOUN,""allergic""/ADJ,""reaction""/NOUN,""flour""/NOUN,""rarely""/ADV,""described""/VERB"
1,"""Ginger""/PROPN,""shown""/VERB,""prominent""/ADJ,""protective""/ADJ,""effect""/NOUN,""diabetic""/ADJ,""liver""/NOUN,""kidney""/NOUN,""eye""/NOUN,""neural""/ADJ,""system""/NOUN,""complication""/NOUN"
1,"""A""/DET,""cardiac""/ADJ,""protection""/NOUN,""blend""/NOUN,""CPB""/NOUN,""nutrient""/NOUN,""including""/VERB,""medium""/ADJ,""chain""/NOUN,""triglyceride""/NOUN,""fish""/NOUN,""oil""/NOUN,""key""/NOUN,""nutrient""/NOUN,""developed""/VERB,""slow""/ADJ,""progression""/NOUN,""canine""/NOUN,""myxomatous""/ADJ,""mitral""/NOUN,""valve""/NOUN,""disease""/NOUN,""MMVD""/PROPN"
1,"""The""/DET,""preventive""/ADJ,""effect""/NOUN,""high-dose""/ADJ,""9""/NUM,""regular-fish""/ADJ,""oil""/NOUN,""FO""/NOUN,""bone""/NOUN,""loss""/NOUN,""aging""/NOUN,""demonstrated""/VERB,""effect""/NOUN,""low-dose""/ADJ,""1""/NUM,""highly""/ADV,""purified""/VERB,""concentrated""/ADJ,""FO""/PROPN,""CFO""/PROPN,""elucidated""/VERB"
1,"""There""/ADV,""doubt""/VERB,""folic""/NOUN,""acid""/NOUN,""fortification""/NOUN,""effective""/ADJ,""reducing""/VERB,""incidence""/NOUN,""neural""/ADJ,""tube""/NOUN,""defect""/NOUN"
2,"""Staphylococcus""/NOUN,""aureus""/NOUN,""leading""/VERB,""cause""/NOUN,""clinical""/ADJ,""mastitis""/NOUN,""associated""/VERB,""persistent""/ADJ,""subclinical""/ADJ,""infection""/NOUN,""ewe""/NOUN,""significantly""/ADV,""compromising""/VERB,""quality""/NOUN,""quantity""/NOUN,""milk""/NOUN,""production""/NOUN"
2,"""Cocoa""/NOUN,""rich""/ADJ,""source""/NOUN,""dietary""/ADJ,""polyphenols""/NOUN,""demonstrated""/VERB,""cardioprotective""/ADJ,""effect""/NOUN,""adult""/NOUN,""without""/ADP,""diabetes""/NOUN"
1,"""Caffeic""/NOUN,""acid""/NOUN,""CA""/NOUN,""shown""/VERB,""neuroprotection""/NOUN,""Alzheimer""/PROPN,""disease""/NOUN,""cerebral""/ADJ,""ischaemia""/NOUN,""however""/ADV,""unclear""/ADJ,""whether""/ADP,""CA""/PROPN,""confers""/VERB,""neuroprotection""/NOUN,""alpha-synuclein-induced""/ADJ,""PD""/NOUN,""model""/NOUN"
1,"""Consumption""/NOUN,""soy""/NOUN,""food""/NOUN,""associated""/VERB,""protection""/NOUN,""cardiometabolic""/ADJ,""disease""/NOUN,""mechanism""/NOUN,""incompletely""/ADV,""understood""/VERB"
0,"""Many""/ADJ,""Small""/PROPN,""Island""/PROPN,""Developing""/PROPN,""States""/PROPN,""Caribbean""/PROPN,""experience""/VERB,""triple""/ADJ,""burden""/NOUN,""malnutrition""/NOUN,""high""/ADJ,""rate""/NOUN,""obesity""/NOUN,""undernutrition""/NOUN,""child""/NOUN,""iron""/NOUN,""deficiency""/NOUN,""anemia""/NOUN,""woman""/NOUN,""reproductive""/ADJ,""age""/NOUN,""driven""/VERB,""inadequate""/ADJ,""unhealthy""/ADJ,""diet""/NOUN"
