sentence,label
recently prevalence food allergy childhood increasing fruit common allergen,1
many infectious disease originating carried wildlife affect wildlife conservation biodiversity livestock health human health,0
jug major allergen walnut trigger severe allergic reaction epitope,1
functional food optimize immune system capacity prevent control pathogenic viral infection physical activity augments protective benefit,0
adults type diabetes may experience health benefit including glycemic control weight loss following lowcarbohydrate ketogenic vlc diet,0
zoonotic disease transmitted animal human direct contact food water environment,0
oral food challenge demonstrated diagnosis almond allergy based extractsige test display low specificity,1
our previous study shown beneficial effect walnut memory learning skill transgenic mouse model alzheimer disease adtg,0
although several individual nutrientsfoods associated uric acid status association overall diet quality hyperuricemia remains unclear,0
however evidence exists regarding potential protective effect uric acid polyunsaturated fatty acid coffee tea mainly men whereas dairy product particularly milk might increase pd risk contaminant mediated effect,0
catechins phytochemical contained mainly green tea exhibit antiviral activity various acute infectious disease experimentally,0
brassica specie broccoli particular associated reduced risk several important cancer,0
tropical food seaweed tropical fruit including indigenous fruit davidson plum effective reducing sign metabolic syndrome rat well reducing degeneration bone cartilage altering gut microbiome,0
mushrooms reported folklore management alzheimer disease ad diabetes limited scientific prove,0
epidemiological investigation shown consumption soybean soy food reduces risk development cardiovascular disease cancer osteoporosis,0
the consumption ultraprocessed product up associated many disease adult arterial hypertension diabetes asthma,1
pistachio cashew nut belong botanical family tree nut induce serious allergic reaction,1
almost organism produced siderophore hemolytic turkey red blood cell,0
despite high acceptability allium sativa garlic remedy many disease earlier stated manyresearchers previous study shown chronic unregulated consumption garlic may result intra vascularhaemolytic anaemia rat,1
natural antioxidant food source natural product resveratrol curcumin green tea polyphenols vitamin promising therapeutic agent oxidative stressmediated neurodegenerative disease fewer adverse effect tolerable cheaper sustainable long term consumption,0
intake beverage excess free fructose eff including apple juice hfcs sweetened fruit drink soft drink associated asthma child,1
olive oil major component mediterranean diet suggested beneficial counteract alzheimer disease,0
we recently identified sodium npropyl thiosulfate npts sodium propenyl thiosulfate pts boiled onion garlic respectively causative agent hemolytic anemia dog,1
the tibetan turnip brassica rapa wide array medicine property including heatclearing detoxifying antihypoxia listed famous centuriesold tibetan medicine classic the four medical tantras,0
low diet quality driver general micronutrient malnutrition urban rural area,1
epicatechin ec main colonic phenolic acid derived flavonoid intake dihydroxybenzoic acid dhba dihydroxyphenylacetic acid dhpaa hydroxyphenylpropionic acid hppa suggested exert beneficial effect diabetes,0
components germ layer bran brown rice br help maintain good health prevent ad,0
cigarette smoke cs cause death year worldwide wellknown harmful effect human body leading heart disease stroke lung cancer cardiovascular problem,1
high consumption red meat carcinogenic human misuse abuse alcohol drinking increase premature death shortened life expectancy,0
symptoms suggestive chronic bronchitis chronic productive cough found worker exposed flour dust flour mill presenting chronic cough phlegm,1
curcumin polyphenol curcuma longa turmeric plant polyphenol belongs ginger family long used ayurveda medicine treat various disease asthma anorexia coughing hepatic disease diabetes heart disease wound healing alzheimer,0
docosahexaenoic acid dha shown reduce tumour growth preclinical model combined chemotherapy known beneficially modulate systemic immune function,0
hypercholesterolemia also called high cholesterol form hyperlipidemia may consequence diet obesity diabetes,1
the association coffee consumption risk type diabetes may vary genetic variant,0
glycine max commonly used algeria treatment anemia deficiency osteoporosis rank first term vegetal protein,0
there evidence adequate amount folic acid supply woman early pregnancy decrease risk neural tube defect affected child,0
beans contribute foodfirst approach healthy aging nutrientdense reduce risk chronic disease,0
adequate consumption fruit vegetable protective benefit development coronary heart disease hypertension chronic obstructive pulmonary disease,0
current dietary guideline recommend patient chronic kidney disease ckd restrict individual nutrient sodium potassium phosphorus protein,1
despite recent interest use ketogenic diet kds cancer evidence beneficial effect lacking,0
bioactive extract olea europaea antiinflammatory activity shown reduce systemic inflammation animal model,0
staphylococcus aureus one common mastitiscausing bacteria dairy cow,0
sensitization inhaled wheat flour may lead occupational rhinitis andor asthma,1
health claim describe relation food substance risk disease eg adequate calcium vitamin throughout life part wellbalanced diet may reduce risk osteoporosis,0
supplementation vitamin one study ginkgo biloba one study fortasyn connect one study significant effect progression mci dementia andor ad,0
star anise used traditional medicine treatment skin inflammation rheumatism asthma bronchitis,0
infections cow udder leading mastitis reducing milk quality critical challenge facing dairy farmer,0
the health benefit garlic including inhibition carcinogenesis supported several epidemiologic laboratory finding,0
zingerone major component found ginger root known antimutagenic anticarcinogenic activity often associated antioxidative antiinflammatory activity,0
overall finding indicate fermented curly kale juice may become popular functional food sector especially among vegetarian consumer lactose intolerance allergy milk protein,0
high protein diet believed cause kidney stone formation bone loss mechanism mediating change unknown,1
the mediterranean diet along exercise dietary supplement suggested antiinflammatory intervention individual sci,0
esophageal trichomoniasis rarely reported chicken,0
mediterranean diet medi style reported associated lower degree inflammation biomarkers protective role cardiovascular cerebrovascular event,0
recent evidence revealed potential ginger reducing diabetesinduced oxidative stress marker,0
chickpea cicer arietinum allergy frequently reported particularly spain india,1
dietary sugar especially liquid form increase risk dental caries adiposity type diabetes,1
regarding food intake fruit correlated negatively incidence urolithiasis intake egg sugar tended positively correlate incidence,0
our previous study suggests ginger root extract reverse behavioral dysfunction prevent alzheimer disease ad symptom induced amyloidbeta protein abeta rat model,0
epidemiological study compellingly documented ability mediterranean diet rich extravirgin olive oil reduce incidence certain malignancy cardiovascular disease slow alzheimer disease progression,0
dairy product contain beneficial harmful nutrient relation cardiometabolic disease,1
ginger rizhome zingiber officinale roscoe widely used ethnomedicine cure several ailment,0
infectious bronchitis ib affect chicken age pose major economic loses poultry industry worldwide,0
the sex difference malnutrition hypertension adolescence largely inconclusive,0
peanut allergy affect australian child higher risk anaphylaxis food allergy,1
although breast milk considered major source transmission transfusiontransmitted cmv ttcmv infection often suspected cmv disease develops transfusion,0
avian infectious bronchitis virus ibv coronavirus infects chicken gallus gallus age cause significant economic loss poultry industry worldwide,0
the intake processed meat associated several adverse health outcome type ii diabetes cancer however mechanism fully understood,1
the different susceptibility renal stone disease white black people previously explained term intrinsic genetics extrinsic diet lifestyle factor,0
