sentence,label
however liquid upf processed meat associated increased rate hypertension irr ci irr ci respectively,0
virgin olive oil key component mediterranean diet mdiet recognised beneficial effect metabolism cardiovascular health may decrease risk osteoporotic fracture,1
observational study showed inverse association milk consumption knee osteoarthritis knee oa,1
many epidemiological study support protective role garlic related allium food development certain human cancer,1
in last decade several theory investigating cause neurodegenerative disease formulated condition risk factor contribute described gutbrain axis hypothesis stress unbalanced diet drug impact altering microbiota composition contributes dysbiosis,0
over one thousand cultivar punica granatum punicaceae known traditionally used treat various ailment,1
caffeic acid ca shown neuroprotection alzheimer disease cerebral ischaemia however unclear whether ca confers neuroprotection alphasynucleininduced pd model,1
the tibetan turnip brassica rapa wide array medicine property including heatclearing detoxifying antihypoxia listed famous centuriesold tibetan medicine classic the four medical tantras,1
therefore study present neuroprotective potential lemon tangerine peelsderived eos possibility exploration neuroactive agent alternative management alzheimer disease ad,1
fortification wheat flour deemed useful strategy reduce anaemia population,1
improving overall household living condition increasing maternal education delaying childbearing introducing iron rich food six month age may reduce likelihood anaemia toddlerhood,1
coffee consumption associated significant decrease risk developing chronic disease parkinson disease diabetes type several type cancer eg colon liver,1
tea cultivated around world polysaccharide component reported effective approach managing type diabetes fewer adverse effect medication,1
migraine attack produced frequently cow milk patient cabbage flour egg patient preservative cottage swiss cheese porcine meat patient colorants chocolate patient beef strawberry lemon butter patient,0
omega fatty acid omegafas docosahexaenoic acid dha eicosapentanoic acid epa active ingredient fish oil larger health benefit various disease including cardiovascular neurodegenerative cancer bone disease,1
accumulating epidemiological study indicated consuming fruit inversely related risk cvds,1
historically lowcarbohydrate cho verylowcho diet used weight loss,0
consumption certain food pregnancy shown beneficial effect childhood asthma allergic disease development aggravation,1
however ubiquitous white crystal sugar may lead osteoporosis increasing inflammation hyperinsulinemia increased renal acid load reduced calcium intake increased urinary calcium excretion,0
also excessive intake fat highcalorie food also related development obesity contributes development cvd,0
tropical food seaweed tropical fruit including indigenous fruit davidson plum effective reducing sign metabolic syndrome rat well reducing degeneration bone cartilage altering gut microbiome,1
highcalorie diet hcd induces two mutually exacerbating effect contributing dietinduced obesity dio impaired glucose metabolism increased food consumption,0
regular cocoa consumption shown improve blood pressure bp insulin sensitivity lipid level patient type diabetes td using chocolate cocoa,1
the characteristic tree nut tns peanut pn allergy vary different region world,0
pistachio cashew nut belong botanical family tree nut induce serious allergic reaction,0
avocado soybean unsaponifiables asu proven safety effectiveness clinical study knee osteoarthritis oa however whether asu exerts structuremodifying effect still elucidated,1
since excessive sugar consumption related development chronic metabolic disease prevalent western world use sweetener gradually increased worldwide last year,1
evidence support protective effect garlic stomach colorectal breast cancer human,1
ginger rizhome zingiber officinale roscoe widely used ethnomedicine cure several ailment,1
antioxidants phlorotannins ascorbic acid tocopherol carotenoid red algae showed toxicity cancer cell without side effect,0
younger woman use botanical urinary tract infection especially vaccinium macrocarpon cranberry evidence efficacy,1
recently prevalence food allergy childhood increasing fruit common allergen,0
betaamyrin ingredient surface wax tomato fruit dandelion coffee previously reported ameliorate memory impairment induced cholinergic dysfunction,1
salvia officinalis sage medicinal plant used ingredient food beverage display wide range biological pharmacological activity including antidiabetic effect,1
fava bean fbs long used food principal disadvantage derived haemotoxicity,0
extensive research last year indicated nutraceuticals derived spice turmeric red pepper black pepper licorice clove ginger garlic coriander cinnamon target inflammatory pathway thereby may prevent neurodegenerative disease,1
adults type diabetes may experience health benefit including glycemic control weight loss following lowcarbohydrate ketogenic vlc diet,1
selective nutrition therapy asd brain function show improvement behavioral change reduction malnutrition seemingly associated allergy food intolerance gluten,1
several study shown high consumption vegetable fruit consistently associated low risk oxidative stressinduced disease includes degenerative disease amyotrophic lateral sclerosis alzheimer parkinson,1
previously supplementation seleniumrich brazil nut bertholletia excelsa shown potential reducing cognitive decline mci patient could prove safe effective nutritional approach early disease process slow decline,1
in beer variety concentration bioactive compound nonalcoholic fraction suggests consumption moderate level may harmless could also positively contribute improvement certain physiological state also useful prevention different chronic disease,1
ginger antioxidant antiinflammation effect biomarkers,1
quercetin major polyphenolic flavonoid found food product including berry apple cauliflower tea cabbage nut onion traditionally treated anticancer antiviral used treatment allergic metabolic inflammatory disorder eye cardiovascular disease arthritis,1
based observation investigator believe long term intake high carbohydrate diet may increase risk nephrolithiasis possibly osteoporosis,0
glycine max commonly used algeria treatment anemia deficiency osteoporosis rank first term vegetal protein,1
diets characterized high intake refined sugar salt animalderived protein fat low intake fruit vegetable associated higher risk ad perturb circadian modulation cortisol secretion associated poor sleep quality,0
there strong belief garlic medicinal property may even reduce risk developing certain cancer including gastrointestinal tract,1
components ginger zingiber officinale extract described potential new drug candidate alzheimer disease ad able interact several molecular target related ad treatment,1
reports shown ginger avocado induce antioxidant antiinflammatory effect improving enzymatic activity modulating obesityrelated impairment antiinflammatory system different tissue without side effect,1
all evaluated pepper capsicum genus exhibited antihyperglycemia antihypertension potential,1
jug major allergen walnut trigger severe allergic reaction epitope,0
evidence regarding health benefit oolong tea consumption accumulating tea polyphenols various pharmacological property anticancer antidiabetes effect,1
